
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  14068 Services                   0      4,336 K
csrss.exe                    16172 Console                    2      6,412 K
winlogon.exe                 24344 Console                    2      9,744 K
fontdrvhost.exe              20896 Console                    2      4,612 K
dwm.exe                       9988 Console                    2     86,628 K
DAX3API.exe                  13776 Console                    2      3,556 K
AutoModeDetect.exe            4372 Console                    2      5,248 K
uihost.exe                    5476 Console                    2     20,408 K
conhost.exe                  20288 Console                    2      1,532 K
sihost.exe                    7700 Console                    2     18,224 K
svchost.exe                  19632 Console                    2      6,608 K
svchost.exe                   8616 Console                    2      4,836 K
svchost.exe                   1776 Console                    2      9,832 K
igfxEMN.exe                  22856 Console                    2      3,100 K
taskhostw.exe                 2588 Console                    2     10,660 K
explorer.exe                 18576 Console                    2    112,264 K
FnHotkeyCapsLKNumLK.exe      11120 Console                    2      6,664 K
FnHotkeyUtility.exe          22196 Console                    2     12,788 K
unsecapp.exe                 17156 Console                    2      5,820 K
svchost.exe                  21096 Console                    2     16,904 K
unsecapp.exe                 25560 Console                    2      5,876 K
StartMenuExperienceHost.e    14616 Console                    2     21,668 K
SearchHost.exe               10160 Console                    2     70,664 K
RuntimeBroker.exe            15736 Console                    2     28,176 K
Widgets.exe                  27052 Console                    2     22,840 K
RuntimeBroker.exe            14096 Console                    2     15,192 K
LocationNotificationWindo    12680 Console                    2      1,816 K
svchost.exe                   9928 Console                    2     10,932 K
dllhost.exe                  10448 Console                    2     15,644 K
ShellExperienceHost.exe       5696 Console                    2      3,576 K
RuntimeBroker.exe            23504 Console                    2     17,332 K
svchost.exe                   5048 Console                    2     15,324 K
SystemSettingsBroker.exe     13840 Console                    2     15,380 K
svchost.exe                  19012 Console                    2      5,896 K
ctfmon.exe                   10756 Console                    2     19,176 K
SecurityHealthSystray.exe    26920 Console                    2      6,420 K
TextInputHost.exe             4192 Console                    2     20,388 K
Lenovo.Modern.ImControlle     8800 Console                    2     13,096 K
